IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2007-4170,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4218,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4338,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4361,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4388,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4416,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4566,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4642,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4731,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4915,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4916,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-4992,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5057,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5108,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5245,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5246,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5252,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5351,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5364,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5372,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5383,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5395,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5419,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5580,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5815,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-5889,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6044,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6112,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6114,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6115,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6195,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6200,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6204,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6319,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6330,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6425,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6453,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6454,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6491,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6493,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6494,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-6507,HIGH,10,11.65932578,,,,,,,,,,,,
CVE-2007-0065,HIGH,10,11.65989699,,,,,,,,,,,,
CVE-2007-4351,HIGH,10,11.66161176,,,,,,,,,,,,
CVE-2007-6109,HIGH,10,11.66161176,,,,,,,,,,,,
CVE-2007-6757,HIGH,10,11.6980267,,,,,,,,,,,,
CVE-2007-0261,HIGH,10,11.72947042,,,,,,,,,,,,
CVE-2007-0368,HIGH,10,11.72947042,,,,,,,,,,,,
CVE-2007-0495,HIGH,10,11.72947042,,,,,,,,,,,,
CVE-2007-0496,HIGH,10,11.72947042,,,,,,,,,,,,
CVE-2007-0504,HIGH,10,11.72947042,,,,,,,,,,,,
CVE-2007-0886,HIGH,10,11.72947042,,,,,,,,,,,,
CVE-2007-1867,HIGH,10,11.72947042,,,,,,,,,,,,
CVE-2007-6172,HIGH,10,11.72947042,,,,,,,,,,,,
CVE-2007-0236,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-0480,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-0949,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-0976,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1006,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1007,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1013,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1014,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1015,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1021,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1225,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1257,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1372,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1393,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1394,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1568,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1569,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1578,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1579,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1620,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1621,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1640,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1643,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1644,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1645,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1697,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1699,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-1778,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2187,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2194,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2200,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2371,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2372,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2435,HIGH,10,11.73105774,,,,,,,,,,,,
